name,geog,lung_cancer_rate_per100k
"Osceola County, Michigan",26133,80
"Madison County, Kentucky",21151,79.9
"Creek County, Oklahoma",40037,79.9
"Cherokee County, South Carolina",45021,79.9
"Lonoke County, Arkansas",05085,79.9
"Dent County, Missouri",29065,79.8
"Searcy County, Arkansas",05129,79.8
"Emanuel County, Georgia",13107,79.8
"Lamar County, Alabama",01075,79.7
"Muskogee County, Oklahoma",40101,79.7
"Caswell County, North Carolina",37033,79.6
"Wayne County, Georgia",13305,79.6
"Green County, Kentucky",21087,79.6
"Louisa County, Iowa",19115,79.5
"Lee County, Mississippi",28081,79.4
"Marshall County, Kentucky",21157,79.4
"Evangeline Parish, Louisiana",22039,79.4
"Jefferson County, Tennessee",47089,79.3
"Hamblen County, Tennessee",47063,79.2
"McNairy County, Tennessee",47109,79.2
"Madison County, Illinois",17119,79.1
"Evans County, Georgia",13109,79.1
"Trinity County, Texas",48455,79.1
"Emmons County, North Dakota",38029,79.1
"Ozark County, Missouri",29153,79.1
"Fentress County, Tennessee",47049,79.1
"Jasper County, Missouri",29097,79.1
"Bureau County, Illinois",17011,79.1
"Upshur County, West Virginia",54097,79
"Wilkinson County, Georgia",13319,78.9
"Cayuga County, New York",36011,78.9
"Tate County, Mississippi",28137,78.9
"Ashley County, Arkansas",05003,78.9
"La Salle County, Illinois",17099,78.9
"Pettis County, Missouri",29159,78.9
"Suwannee County, Florida",12121,78.9
"Richland Parish, Louisiana",22083,78.8
"Wayne County, Iowa",19185,78.8
"Union Parish, Louisiana",22111,78.8
"Laurens County, Georgia",13175,78.8
"Jefferson County, Missouri",29099,78.7
"Harrison County, Mississippi",28047,78.7
"Morgan County, Tennessee",47129,78.6
"Marion County, Arkansas",05089,78.6
"Drew County, Arkansas",05043,78.6
"Gasconade County, Missouri",29073,78.6
"Yancey County, North Carolina",37199,78.6
"Crawford County, Illinois",17033,78.6
"Hardin County, Ohio",39065,78.6
"Montcalm County, Michigan",26117,78.6
"Cooper County, Missouri",29053,78.5
"Mercer County, West Virginia",54055,78.5
"Putnam County, Illinois",17155,78.4
"Wood County, West Virginia",54107,78.3
"Rowan County, Kentucky",21205,78.3
"Columbia County, Florida",12023,78.3
"Saline County, Illinois",17165,78.3
"Coffee County, Tennessee",47031,78.3
"Polk County, Arkansas",05113,78.3
"Bartow County, Georgia",13015,78.3
"Pushmataha County, Oklahoma",40127,78.3
"Des Moines County, Iowa",19057,78.3
"Gaston County, North Carolina",37071,78.3
"Graves County, Kentucky",21083,78.3
"Benson County, North Dakota",38005,78.2
"Stephens County, Texas",48429,78.2
"Taylor County, Kentucky",21217,78.1
